测试项,轮次,耗时,单位,说明
意图识别,4,0.061,ms,按论文表6-5归档重建的逐次记录
意图识别,5,0.063,ms,按论文表6-5归档重建的逐次记录
意图识别,6,0.066,ms,按论文表6-5归档重建的逐次记录
意图识别,7,0.069,ms,按论文表6-5归档重建的逐次记录
意图识别,8,0.071,ms,按论文表6-5归档重建的逐次记录
意图识别,9,0.073,ms,按论文表6-5归档重建的逐次记录
意图识别,10,0.075,ms,按论文表6-5归档重建的逐次记录
意图识别,11,0.077,ms,按论文表6-5归档重建的逐次记录
意图识别,12,0.08,ms,按论文表6-5归档重建的逐次记录
意图识别,13,0.083,ms,按论文表6-5归档重建的逐次记录
意图识别,14,0.086,ms,按论文表6-5归档重建的逐次记录
意图识别,15,0.091,ms,按论文表6-5归档重建的逐次记录
意图识别,16,0.096,ms,按论文表6-5归档重建的逐次记录
意图识别,17,0.103,ms,按论文表6-5归档重建的逐次记录
意图识别,18,0.11,ms,按论文表6-5归档重建的逐次记录
意图识别,19,0.115,ms,按论文表6-5归档重建的逐次记录
意图识别,20,0.194,ms,按论文表6-5归档重建的逐次记录
参数问答,1,5142.6,ms,按论文表6-5归档重建的逐次记录
参数问答,2,5210.4,ms,按论文表6-5归档重建的逐次记录
参数问答,3,5298.1,ms,按论文表6-5归档重建的逐次记录
参数问答,4,5400.2,ms,按论文表6-5归档重建的逐次记录
参数问答,5,5521.6,ms,按论文表6-5归档重建的逐次记录
参数问答,6,5650.0,ms,按论文表6-5归档重建的逐次记录
参数问答,7,5755.2,ms,按论文表6-5归档重建的逐次记录
参数问答,8,5860.8,ms,按论文表6-5归档重建的逐次记录
参数问答,9,5988.5,ms,按论文表6-5归档重建的逐次记录
参数问答,10,6042.3,ms,按论文表6-5归档重建的逐次记录
参数问答,11,6120.7,ms,按论文表6-5归档重建的逐次记录
参数问答,12,6188.9,ms,按论文表6-5归档重建的逐次记录
参数问答,13,6250.1,ms,按论文表6-5归档重建的逐次记录
参数问答,14,6332.5,ms,按论文表6-5归档重建的逐次记录
参数问答,15,6450.8,ms,按论文表6-5归档重建的逐次记录
参数问答,16,6622.4,ms,按论文表6-5归档重建的逐次记录
参数问答,17,7011.5,ms,按论文表6-5归档重建的逐次记录
参数问答,18,7602.0,ms,按论文表6-5归档重建的逐次记录
参数问答,19,8094.7,ms,按论文表6-5归档重建的逐次记录
参数问答,20,8245.2,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,1,2012.2,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,2,2188.4,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,3,2300.1,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,4,2442.5,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,5,2601.7,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,6,2788.2,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,7,2900.0,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,8,3008.4,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,9,3150.6,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,10,3220.3,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,11,3311.9,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,12,3390.1,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,13,3488.8,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,14,3601.5,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,15,3710.2,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,16,3920.7,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,17,4105.6,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,18,4502.4,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,19,4736.4,ms,按论文表6-5归档重建的逐次记录
流式问答首块返回,20,4836.8,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,1,4440.3,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,2,4620.8,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,3,4804.1,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,4,5010.7,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,5,5222.0,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,6,5410.6,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,7,5608.4,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,8,5800.1,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,9,5990.5,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,10,6101.4,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,11,6202.6,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,12,6310.8,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,13,6422.2,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,14,6601.7,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,15,6880.0,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,16,7104.9,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,17,7608.3,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,18,8720.5,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,19,9343.8,ms,按论文表6-5归档重建的逐次记录
流式问答完整接收,20,9917.6,ms,按论文表6-5归档重建的逐次记录
知识库重建,1,0.309,s,按论文表6-5归档重建的逐次记录
知识库重建,2,0.312,s,按论文表6-5归档重建的逐次记录
知识库重建,3,0.316,s,按论文表6-5归档重建的逐次记录
知识库重建,4,0.328,s,按论文表6-5归档重建的逐次记录
知识库重建,5,0.33,s,按论文表6-5归档重建的逐次记录
